loan_id,customer_id,loan_type,principal_amount,interest_rate_pct,term_months,origination_date,monthly_payment,credit_score_at_origination,dti_ratio,status,days_past_due
LN700018,CUST109058,Auto,33488.72,13.14,12,2025-02-08,2993.32,647,0.33,Paid Off,0
LN700019,CUST106230,Personal,12693.37,12.72,36,2021-09-25,425.98,661,0.39,Paid Off,0
LN700020,CUST108894,Personal,11758.66,14.62,48,2022-04-10,324.99,607,0.38,Paid Off,0
LN700021,CUST107479,Auto,6097.7,11.7,6,2025-04-18,1051.24,709,0.47,Paid Off,0
LN700022,CUST109266,BNPL,623.86,8.19,24,2024-03-17,28.27,716,0.44,Paid Off,0
LN700023,CUST102354,Debt Consolidation,4336.62,12.46,24,2021-11-22,205.07,631,0.38,Paid Off,0
LN700024,CUST102128,Personal,22267.6,12.55,12,2025-04-27,1984.18,677,0.29,Paid Off,0
LN700025,CUST103986,Personal,7211.2,10.97,36,2022-02-04,235.98,610,0.49,Late,70
LN700026,CUST102287,Personal,7508.43,16.19,36,2023-06-10,264.68,617,0.49,Default,259
LN700027,CUST100936,BNPL,1460.6,12.59,12,2022-03-22,130.18,616,0.53,Current,0
LN700028,CUST107251,BNPL,722.62,13.27,12,2022-06-07,64.63,619,0.39,Paid Off,0
LN700029,CUST107583,Personal,26941.5,12.84,48,2024-01-12,720.64,557,0.49,Current,0
LN700030,CUST104491,Auto,1958.24,13.49,6,2023-02-09,339.33,608,0.51,Current,0
LN700031,CUST109007,BNPL,1265.94,11.59,60,2024-02-20,27.9,685,0.49,Current,0
LN700032,CUST102071,Personal,28563.59,13.38,24,2023-12-14,1363.07,697,0.35,Current,0
LN700033,CUST100500,Auto,26538.41,13.2,36,2023-08-17,896.74,667,0.35,Current,0
LN700034,CUST109893,Personal,9780.37,14.67,48,2022-01-09,270.56,605,0.55,Paid Off,0
LN700035,CUST107143,BNPL,252.46,15.56,24,2021-04-03,12.31,586,0.42,Current,0
LN700036,CUST110191,Debt Consolidation,31249.54,6.92,48,2024-06-24,747.15,771,0.35,Current,0
LN700037,CUST106504,Auto,27672.33,14.86,36,2024-05-22,957.37,641,0.39,Current,0
LN700038,CUST103555,Personal,24562.31,15.99,60,2022-09-21,597.18,588,0.55,Current,0
LN700039,CUST104728,Personal,31829.18,10.19,36,2022-04-23,1029.88,655,0.26,Current,0
LN700040,CUST100269,BNPL,1406.38,13.31,12,2022-02-13,125.82,665,0.6,Current,0
LN700041,CUST102736,Personal,17275.75,12.4,6,2023-10-13,2984.32,711,0.37,Paid Off,0
LN700042,CUST102375,Personal,2463.38,9.76,36,2025-01-08,79.21,722,0.23,Current,0
LN700043,CUST101399,Auto,5734.7,10.08,24,2022-10-26,264.84,776,0.27,Current,0
LN700044,CUST100340,Personal,25315.04,11,12,2026-03-25,2237.39,600,0.48,Current,0
LN700045,CUST108784,Debt Consolidation,33188,11.23,48,2021-11-18,861.47,662,0.48,Paid Off,0
LN700046,CUST101478,Personal,25495.56,17.59,12,2025-09-05,2332.46,603,0.37,Current,0
LN700047,CUST104609,Personal,15223.14,19.68,48,2022-12-01,460.65,457,0.51,Default,131
LN700048,CUST107469,Personal,16051.63,11.31,24,2024-03-27,750.44,648,0.5,Paid Off,0
LN700049,CUST107352,BNPL,719.13,16.67,24,2024-10-30,35.44,617,0.29,Current,0
LN700050,CUST108231,Auto,2458.82,13.07,24,2025-03-28,116.98,615,0.37,Current,0
LN700051,CUST107612,Auto,21498.04,9.98,24,2024-12-14,991.83,759,0.26,Late,24
LN700052,CUST104128,Auto,25366.75,13.54,48,2025-09-06,687.34,585,0.57,Current,0
LN700053,CUST100177,BNPL,860.38,14.5,12,2024-05-26,77.45,635,0.53,Current,0
LN700054,CUST105968,Personal,34612.94,9.97,36,2023-09-24,1116.37,719,0.57,Current,0
LN700055,CUST104279,BNPL,640.43,7.45,36,2022-05-27,19.91,772,0.29,Paid Off,0
LN700056,CUST102028,Personal,5465.44,12.49,24,2025-12-23,258.53,630,0.41,Current,0
LN700057,CUST110653,Auto,17054.35,15.83,6,2021-07-30,2975.06,631,0.44,Paid Off,0
LN700058,CUST106637,BNPL,212.64,14.75,12,2023-05-16,19.17,553,0.46,Paid Off,0
LN700059,CUST109708,Personal,17106.97,14.85,24,2021-11-26,828.24,654,0.47,Paid Off,0
LN700060,CUST106575,Personal,16526.28,16.63,48,2023-10-04,473.71,567,0.44,Current,0
LN700061,CUST104941,Auto,6433.82,10.92,48,2021-12-05,166.04,634,0.59,Late,58
LN700062,CUST107744,Personal,20981.72,10.12,60,2025-03-26,447.04,750,0.47,Late,74
LN700063,CUST103005,Debt Consolidation,13865.98,14.57,12,2023-05-27,1248.71,592,0.6,Default,169
LN700064,CUST100205,Personal,33638.89,15.49,36,2022-03-17,1174.19,565,0.31,Current,0
LN700065,CUST108208,Personal,31211.86,15.12,12,2023-11-05,2818.9,507,0.27,Paid Off,0
LN700066,CUST109181,BNPL,1282.98,16.8,60,2021-05-08,31.75,561,0.49,Default,192
LN700067,CUST103317,Auto,24786.56,16.38,36,2021-06-13,876.08,535,0.53,Current,0
LN700068,CUST104835,Personal,13780.42,13.06,6,2022-02-15,2385.01,571,0.55,Current,0
LN700069,CUST109507,Debt Consolidation,19170.01,11.54,24,2023-10-21,898.29,710,0.24,Current,0
LN700070,CUST103209,Personal,20468.28,21.94,24,2022-06-06,1061.25,507,0.43,Current,0
LN700071,CUST109451,Personal,26885.93,10.85,36,2023-01-09,878.3,669,0.37,Paid Off,0
LN700072,CUST109419,Personal,5210.4,14.79,36,2025-09-13,180.08,640,0.51,Current,0
LN700073,CUST105575,Personal,27962.69,7.34,24,2021-08-01,1256.28,778,0.15,Paid Off,0
LN700074,CUST101334,Personal,18369.88,14.67,24,2021-04-08,887.82,527,0.63,Default,149
LN700075,CUST102010,Personal,30578.59,12.6,36,2021-11-15,1024.43,614,0.49,Late,29
LN700076,CUST110766,BNPL,1282.01,11.51,12,2025-12-24,113.61,648,0.45,Default,125
LN700077,CUST110662,Personal,5734.89,10.56,6,2026-05-29,985.47,655,0.47,Current,0
LN700078,CUST108494,Personal,6863.03,13.49,24,2024-12-03,327.86,593,0.54,Current,0
LN700079,CUST110534,Personal,17495.09,16.76,36,2025-06-02,621.66,692,0.58,Current,0
LN700080,CUST100359,Personal,24615.96,11.8,36,2021-01-24,815.25,659,0.55,Default,214
LN700081,CUST102817,Debt Consolidation,5083.48,14.28,36,2024-06-06,174.43,586,0.62,Current,0
LN700082,CUST104158,Personal,16163.62,16.62,6,2024-02-16,2826.02,612,0.49,Default,262
LN700083,CUST107379,BNPL,1043.87,15.67,24,2024-06-20,50.95,576,0.51,Current,0
LN700084,CUST102476,Personal,12287.39,14.33,36,2025-03-15,421.93,554,0.36,Current,0
LN700085,CUST105871,Debt Consolidation,22646.78,13.91,48,2021-11-27,617.83,586,0.61,Paid Off,0
LN700086,CUST110134,Auto,12591.11,5.01,48,2024-04-19,290.02,744,0.32,Current,0
LN700087,CUST109037,Debt Consolidation,11433.8,14.04,36,2022-11-30,391,587,0.51,Current,0
LN700088,CUST103751,Debt Consolidation,30946.93,10.59,6,2023-09-08,5318.3,656,0.37,Paid Off,0
LN700089,CUST108791,Auto,23630.82,11.22,36,2024-07-30,776.11,701,0.49,Current,0
LN700090,CUST109179,Personal,2579.83,17.4,24,2021-04-21,128.05,588,0.61,Paid Off,0
LN700091,CUST107389,BNPL,978.54,14.39,36,2021-02-05,33.63,633,0.3,Paid Off,0
LN700092,CUST101352,Personal,31855.96,8.75,36,2026-05-08,1009.31,727,0.36,Current,0
LN700093,CUST105820,BNPL,1437.22,9.07,12,2024-08-31,125.73,700,0.56,Paid Off,0
LN700094,CUST109086,Auto,17604.08,17.72,12,2022-01-25,1611.6,593,0.57,Paid Off,0
LN700095,CUST104680,Auto,34960.4,10.23,36,2025-06-28,1131.85,698,0.34,Current,0
LN700096,CUST109747,Personal,21465.26,10.64,48,2021-07-22,551.04,679,0.24,Paid Off,0
LN700097,CUST101413,BNPL,714.93,15.03,36,2024-03-02,24.79,634,0.67,Current,0
LN700098,CUST104502,Personal,12405.77,15.21,12,2024-12-24,1120.95,597,0.34,Paid Off,0
LN700099,CUST110150,Personal,23492.43,12.59,36,2023-03-17,786.92,663,0.24,Late,39
LN700100,CUST103223,Debt Consolidation,12660.99,11.22,48,2023-03-20,328.58,714,0.33,Current,0
LN700101,CUST103147,Auto,7492.87,13.79,36,2021-06-05,255.32,728,0.24,Paid Off,0
LN700102,CUST102062,Personal,4720.64,10.84,12,2025-09-25,416.87,592,0.19,Current,0
LN700103,CUST110497,Auto,5925.65,11.8,36,2024-01-14,196.25,715,0.21,Current,0
LN700104,CUST106131,Personal,8912.8,12.71,24,2022-03-10,422.52,558,0.46,Default,101
LN700105,CUST107263,Personal,23351.99,11.33,12,2022-10-16,2067.48,661,0.44,Late,73
LN700106,CUST104022,BNPL,1149.03,8.74,12,2023-02-15,100.35,668,0.36,Current,0
LN700107,CUST110946,Personal,5809.09,13.99,24,2023-07-30,278.88,632,0.59,Current,0
LN700108,CUST104418,BNPL,416.17,13.62,6,2026-04-07,72.14,593,0.3,Current,0
LN700109,CUST107835,Debt Consolidation,9732.29,18.68,24,2024-08-01,489.08,546,0.5,Default,97
LN700110,CUST109114,Debt Consolidation,30160.59,15.95,36,2021-07-17,1059.61,627,0.36,Paid Off,0
LN700111,CUST107742,BNPL,1267.53,8.34,60,2023-10-28,25.91,721,0.58,Current,0
LN700112,CUST100041,Personal,2745.13,14.24,60,2022-10-15,64.22,527,0.37,Default,120
LN700113,CUST106290,Auto,10828.1,13.16,12,2023-08-22,967.95,556,0.54,Paid Off,0
LN700114,CUST103927,Debt Consolidation,33829.82,13.45,60,2022-05-17,777.55,589,0.37,Current,0
LN700115,CUST107989,BNPL,434.78,10.52,36,2022-08-29,14.14,649,0.3,Current,0
LN700116,CUST105375,Personal,5925.41,12.17,36,2023-08-25,197.29,677,0.35,Current,0
LN700117,CUST110809,BNPL,631.54,11.16,36,2022-03-18,20.72,729,0.23,Paid Off,0
LN700118,CUST102643,BNPL,596,8.58,36,2024-07-27,18.84,701,0.55,Current,0
LN700119,CUST109099,Debt Consolidation,4802.69,11.2,36,2021-12-25,157.69,610,0.39,Current,0
LN700120,CUST106792,Personal,4322.26,15.4,48,2026-05-06,121.17,620,0.44,Current,0
LN700121,CUST108519,Auto,28323.5,9.32,24,2025-11-25,1298.11,757,0.47,Current,0
LN700122,CUST103727,Personal,7739.11,10.02,60,2024-12-10,164.51,632,0.46,Current,0
LN700123,CUST109003,Personal,16864.22,18.39,24,2026-03-05,845.11,481,0.54,Default,101
LN700124,CUST100906,Personal,23218.06,13.12,48,2024-05-18,624.27,636,0.66,Current,0
LN700125,CUST105379,BNPL,464.59,9.73,36,2022-04-07,14.93,764,0.16,Paid Off,0
LN700126,CUST108507,BNPL,132.82,19.95,12,2026-06-22,12.3,587,0.4,Current,0
LN700127,CUST106908,Debt Consolidation,30576.56,6.84,12,2025-03-14,2643.44,751,0.21,Current,0
LN700128,CUST104350,Personal,29028.06,15.77,12,2023-04-26,2630.58,533,0.5,Default,101
LN700129,CUST108923,Personal,30789.11,17.48,24,2025-01-25,1529.39,561,0.78,Current,0
LN700130,CUST108854,BNPL,788.99,9.54,24,2025-12-13,36.24,636,0.61,Current,0
LN700131,CUST104580,Auto,17057.47,11.62,12,2025-04-01,1512.5,615,0.52,Current,0
LN700132,CUST104820,Auto,27487.09,10.51,36,2021-08-23,893.53,756,0.19,Current,0
LN700133,CUST105137,Personal,13297.33,10.42,36,2021-10-15,431.69,597,0.51,Late,53
LN700134,CUST104930,BNPL,424.56,11.36,24,2022-12-24,19.86,711,0.38,Paid Off,0
LN700135,CUST107191,Auto,21397.28,13.95,12,2023-10-22,1920.7,568,0.34,Current,0
LN700136,CUST108453,Personal,21790.21,12.92,12,2025-09-05,1945.42,629,0.28,Current,0
LN700137,CUST101221,Debt Consolidation,25496.81,12.13,48,2025-06-16,673.06,679,0.41,Current,0
LN700138,CUST110614,Auto,21725.13,11.71,36,2025-03-13,718.58,603,0.37,Current,0
LN700139,CUST107263,BNPL,570.02,11.04,48,2026-02-12,14.74,661,0.47,Current,0
LN700140,CUST106679,Auto,2675.84,7.86,60,2023-09-02,54.08,776,0.21,Current,0
LN700141,CUST105460,Auto,24597.48,16.58,12,2022-05-28,2238.51,564,0.68,Default,132
LN700142,CUST105906,Auto,7521.66,15.75,6,2024-05-28,1311.82,679,0.48,Current,0
LN700143,CUST106827,Personal,24937.9,12.69,48,2023-10-03,665.19,709,0.42,Late,78
LN700144,CUST104819,Personal,34366.97,15.55,24,2025-09-20,1675.33,530,0.47,Current,0
LN700145,CUST110328,BNPL,900.75,12.23,48,2024-03-23,23.82,706,0.46,Current,0
LN700146,CUST105529,Personal,29321.56,17.87,48,2022-01-31,859.33,566,0.23,Paid Off,0
LN700147,CUST101582,BNPL,726.89,15.87,6,2022-09-17,126.82,553,0.62,Default,124
LN700148,CUST108692,Auto,13268.23,7.36,36,2025-01-01,411.87,692,0.26,Current,0
LN700149,CUST101912,Personal,16630.94,11.01,36,2021-02-15,544.55,757,0.28,Current,0
LN700150,CUST110739,Personal,5959.39,12.4,36,2024-02-24,199.08,627,0.44,Current,0
LN700151,CUST106116,Auto,8905.66,8.45,60,2024-07-21,182.5,690,0.6,Current,0
LN700152,CUST104363,Debt Consolidation,17645.06,15.07,60,2022-07-20,420.42,637,0.54,Current,0
LN700153,CUST102856,Personal,11010.85,15.35,36,2021-10-13,383.58,636,0.51,Default,222
LN700154,CUST101569,Personal,12547.04,15.94,6,2024-07-29,2189.46,617,0.42,Late,24
LN700155,CUST102012,Personal,10558.09,13.54,6,2023-05-15,1829.82,599,0.53,Current,0
LN700156,CUST100218,BNPL,816.34,16.97,24,2021-07-27,40.35,568,0.57,Paid Off,0
LN700157,CUST107046,Personal,33653.01,17.78,12,2021-01-06,3081.79,539,0.57,Default,166
LN700158,CUST105457,Auto,8918.9,16.92,24,2022-09-10,440.63,534,0.58,Current,0
LN700159,CUST107198,Debt Consolidation,15865.14,16.66,6,2025-03-08,2774.15,565,0.41,Paid Off,0
LN700160,CUST106060,Personal,1604.15,11.83,60,2025-01-23,35.55,671,0.6,Current,0
LN700161,CUST104217,Personal,8268.3,9.75,24,2025-07-28,380.59,631,0.57,Current,0
LN700162,CUST106908,Auto,2552.7,7.69,36,2026-06-20,79.63,751,0.35,Current,0
LN700163,CUST102679,Personal,14878.72,8.24,60,2025-03-01,303.4,732,0.54,Current,0
LN700164,CUST106602,Auto,20710.77,13.29,24,2024-02-13,987.45,591,0.43,Paid Off,0
LN700165,CUST104157,Personal,10375.47,12.6,24,2021-03-25,491.32,650,0.59,Paid Off,0
LN700166,CUST106484,BNPL,449.9,13.85,12,2025-04-14,40.36,630,0.48,Current,0
LN700167,CUST105920,Personal,20590.74,16.58,48,2023-02-20,589.68,629,0.31,Current,0
LN700168,CUST103330,Personal,21484.59,18.56,60,2025-01-29,552.13,563,0.44,Current,0
LN700169,CUST101089,BNPL,365.67,10.27,60,2026-06-29,7.82,678,0.42,Current,0
LN700170,CUST107343,BNPL,1417,15.26,6,2025-01-27,246.79,604,0.59,Current,0
LN700171,CUST101222,Auto,5375.34,12.72,48,2023-03-21,143.46,577,0.52,Default,233
LN700172,CUST103802,BNPL,1388.4,15.45,12,2021-02-11,125.61,693,0.19,Paid Off,0
LN700173,CUST106865,BNPL,967.82,14.01,36,2021-01-30,33.08,652,0.26,Paid Off,0
LN700174,CUST103273,Personal,2874.55,11.95,12,2021-05-31,255.33,698,0.16,Paid Off,0
LN700175,CUST104998,Auto,12408.19,12.62,24,2021-03-31,587.7,587,0.37,Default,235
LN700176,CUST109111,Auto,20939.12,9.37,24,2026-03-22,960.16,627,0.53,Current,0
LN700177,CUST109903,BNPL,1439.46,13.18,36,2026-02-13,48.63,625,0.3,Late,49
LN700178,CUST109356,Debt Consolidation,7774.1,11.84,36,2022-05-20,257.62,648,0.54,Late,64
LN700179,CUST101414,BNPL,1379.31,11.34,36,2024-10-16,45.38,679,0.49,Current,0
LN700180,CUST105008,Auto,26614.74,11.44,60,2021-07-21,584.53,678,0.38,Late,17
LN700181,CUST101664,Personal,2972.18,11.25,6,2022-07-09,511.74,677,0.54,Paid Off,0
LN700182,CUST110605,Auto,8497.56,10.67,24,2026-05-06,394.75,643,0.55,Current,0
LN700183,CUST102073,Auto,6499.18,14.67,36,2022-06-07,224.25,609,0.26,Paid Off,0
LN700184,CUST105327,BNPL,123.05,16.29,24,2021-11-11,6.04,558,0.39,Default,262
LN700185,CUST101932,Personal,3900.82,19.88,36,2022-10-15,144.73,504,0.52,Default,203
LN700186,CUST101808,Auto,20070.02,10.12,12,2024-10-14,1765.59,728,0.39,Paid Off,0
LN700187,CUST108917,Personal,26517.79,9.89,36,2026-02-27,854.29,749,0.22,Current,0
LN700188,CUST105319,Auto,4496.42,10.49,48,2023-04-28,115.1,675,0.21,Current,0
LN700189,CUST109602,Debt Consolidation,10494.19,11.5,48,2025-08-27,273.78,688,0.3,Current,0
LN700190,CUST108625,Personal,10876.4,13.59,36,2025-11-25,369.57,656,0.36,Current,0
LN700191,CUST107934,Auto,34583.5,21.52,36,2021-09-24,1312.19,483,0.56,Current,0
LN700192,CUST109191,BNPL,833.35,10.4,36,2025-01-25,27.05,748,0.44,Current,0
LN700193,CUST103066,Debt Consolidation,33211.51,13.12,12,2025-11-08,2968.23,668,0.48,Current,0
LN700194,CUST104090,BNPL,516.42,14.25,36,2023-12-24,17.71,636,0.26,Late,60
LN700195,CUST106768,Debt Consolidation,8450.57,16.73,12,2021-02-10,769.65,587,0.29,Paid Off,0
LN700196,CUST105989,Personal,29957.1,4.31,60,2025-03-04,555.91,762,0.26,Late,82
LN700197,CUST107386,BNPL,400.35,13.61,6,2024-07-25,69.4,617,0.38,Late,17
LN700198,CUST102082,BNPL,1438.79,13.19,24,2022-07-05,68.53,600,0.53,Paid Off,0
LN700199,CUST106125,BNPL,1150.34,16.6,24,2021-02-18,56.65,587,0.5,Default,119
LN700200,CUST104702,Auto,5011.13,16.74,48,2022-05-25,143.92,590,0.31,Paid Off,0
LN700201,CUST100558,Debt Consolidation,29158.47,17.56,48,2021-02-16,849.84,649,0.32,Current,0
LN700202,CUST110831,Debt Consolidation,9087.44,9.96,6,2022-01-04,1558.87,744,0.29,Paid Off,0
LN700203,CUST106571,BNPL,766.8,17.13,60,2021-01-22,19.11,545,0.62,Default,107
LN700204,CUST107706,Personal,14423.47,19.84,12,2021-03-14,1335.01,468,0.65,Default,122
LN700205,CUST104082,Debt Consolidation,26231.84,18.25,12,2026-06-26,2408.06,552,0.58,Default,97
LN700206,CUST106305,BNPL,1425.89,11.46,24,2025-02-28,66.76,659,0.4,Current,0
LN700207,CUST103078,Auto,11750.16,10.21,12,2025-09-15,1034.17,642,0.38,Current,0
LN700208,CUST107686,Personal,21218.42,13.47,60,2024-10-17,487.9,597,0.59,Current,0
LN700209,CUST105894,Debt Consolidation,30715.51,17.14,48,2024-02-29,888.52,552,0.49,Default,119
LN700210,CUST110574,Personal,13175.45,13.42,60,2026-01-13,302.62,620,0.5,Current,0
LN700211,CUST103407,Debt Consolidation,18435.19,11.72,24,2022-05-24,865.4,680,0.34,Current,0
LN700212,CUST103048,Personal,30924.53,17.31,48,2023-03-11,897.3,538,0.44,Current,0
LN700213,CUST110427,BNPL,1453.18,16.14,12,2022-04-21,131.94,623,0.54,Current,0
LN700214,CUST106941,Personal,22477.85,12.39,12,2022-11-25,2001.23,651,0.4,Current,0
LN700215,CUST107565,Auto,8878.18,13.27,60,2023-03-02,203.24,637,0.23,Current,0
LN700216,CUST101756,BNPL,1316.04,14.01,12,2025-07-06,118.17,622,0.61,Current,0
LN700217,CUST100966,Personal,13985.09,12.46,36,2021-04-07,467.58,685,0.26,Paid Off,0
LN700218,CUST105674,Personal,6434.52,12.84,24,2023-04-30,305.43,678,0.5,Paid Off,0
LN700219,CUST109463,Auto,21512.66,14.53,12,2023-05-02,1936.93,521,0.59,Current,0
LN700220,CUST109362,BNPL,253.92,16.89,48,2021-08-05,7.31,580,0.26,Paid Off,0
LN700221,CUST107637,Personal,27445.43,18.44,12,2024-03-21,2521.95,540,0.42,Default,169
LN700222,CUST107085,Personal,30968.87,13.4,12,2024-09-01,2771.87,576,0.47,Current,0
LN700223,CUST109483,Auto,4650.53,9.15,24,2022-12-04,212.78,751,0.5,Paid Off,0
LN700224,CUST105519,Debt Consolidation,23094.03,10.71,36,2025-11-10,752.9,649,0.43,Default,205
LN700225,CUST110928,Debt Consolidation,25956.24,14.05,24,2025-05-29,1246.85,668,0.41,Current,0
LN700226,CUST104353,Personal,27944.86,6.92,24,2022-08-17,1250.15,764,0.09,Current,0
LN700227,CUST108707,Debt Consolidation,11613.33,9.83,12,2026-06-17,1020.08,764,0.32,Current,0
LN700228,CUST103760,Auto,1589.33,15.07,60,2023-12-14,37.87,639,0.52,Current,0
LN700229,CUST107228,Debt Consolidation,17857.58,10.64,12,2022-07-03,1575.29,723,0.42,Current,0
LN700230,CUST108324,Personal,23970.35,18.93,60,2025-04-01,620.88,518,0.63,Current,0
LN700231,CUST104283,BNPL,882.33,14.35,48,2022-02-25,24.27,646,0.36,Paid Off,0
LN700232,CUST106889,Auto,16995.1,11.59,24,2025-05-18,796.77,645,0.5,Late,54
LN700233,CUST104385,Personal,28097.5,13.55,24,2021-12-07,1343.08,663,0.38,Current,0
LN700234,CUST109000,BNPL,1236.16,15.46,12,2025-04-23,111.84,630,0.31,Current,0
LN700235,CUST108535,Personal,21512.11,12.36,60,2022-01-29,482.45,525,0.39,Default,147
LN700236,CUST108249,Personal,1782.73,13.83,36,2023-09-16,60.78,667,0.38,Late,39
LN700237,CUST108933,Personal,8593.6,11.88,6,2025-11-18,1482.3,674,0.27,Current,0
LN700238,CUST104470,Personal,6837.3,11,12,2021-07-01,604.29,658,0.44,Current,0
LN700239,CUST107213,Auto,5595.8,14.1,12,2025-07-27,502.69,621,0.38,Current,0
LN700240,CUST106930,Personal,15230.72,15.7,48,2023-08-27,429.31,644,0.22,Current,0
LN700241,CUST105703,Personal,21545.58,17.63,36,2024-05-10,774.93,580,0.32,Current,0
LN700242,CUST102587,Personal,26523.77,14.52,12,2023-10-09,2387.99,625,0.47,Paid Off,0
LN700243,CUST108017,Auto,30833.01,12.09,6,2022-12-22,5321.56,744,0.15,Paid Off,0
LN700244,CUST106981,BNPL,587.47,15.07,12,2024-02-23,53.04,605,0.2,Paid Off,0
LN700245,CUST107370,Personal,15671.44,10.09,12,2026-02-01,1378.42,712,0.31,Current,0
LN700246,CUST108363,Personal,3353.46,13.78,12,2025-10-14,300.75,621,0.48,Current,0
LN700247,CUST107236,BNPL,269.07,10.02,60,2026-05-23,5.72,648,0.6,Current,0
LN700248,CUST109987,Debt Consolidation,30030.52,11.78,24,2025-02-09,1410.56,596,0.33,Default,131
LN700249,CUST104830,Personal,10919.95,9.67,48,2021-05-30,275.23,722,0.2,Paid Off,0
LN700250,CUST108890,Personal,17943.04,13.1,36,2021-11-20,605.44,539,0.53,Current,0
LN700251,CUST105927,Debt Consolidation,2306.47,14.1,6,2021-05-18,400.37,587,0.36,Paid Off,0
LN700252,CUST100127,Personal,12373.35,10.11,36,2025-08-07,399.89,687,0.52,Current,0
LN700253,CUST101768,BNPL,518.54,6.31,48,2023-12-08,12.25,790,0.16,Current,0
LN700254,CUST104405,Personal,33170.8,14.41,24,2021-10-26,1599.06,594,0.57,Current,0
LN700255,CUST102428,BNPL,764.99,11.47,24,2024-09-19,35.82,654,0.34,Current,0
LN700256,CUST102075,Debt Consolidation,11260.47,12.76,6,2021-11-21,1947.21,591,0.43,Late,30
LN700257,CUST109540,Personal,25975.6,9.34,24,2023-03-13,1190.74,721,0.32,Paid Off,0
LN700258,CUST104030,Personal,10525.8,14.59,36,2021-11-27,362.77,628,0.43,Current,0
LN700259,CUST102446,Personal,31233.8,13.34,36,2022-08-10,1057.51,577,0.61,Current,0
LN700260,CUST106514,Debt Consolidation,11902.21,8.84,24,2022-10-22,542.88,627,0.51,Paid Off,0
LN700261,CUST103939,BNPL,532.76,14.87,48,2024-08-19,14.79,583,0.43,Late,87
LN700262,CUST101477,BNPL,656.93,12.38,24,2026-04-25,31.04,672,0.2,Current,0
LN700263,CUST105657,BNPL,961.46,17.56,48,2026-03-16,28.02,506,0.61,Current,0
LN700264,CUST103932,Personal,28084.9,11.47,12,2025-02-27,2488.35,679,0.21,Paid Off,0
LN700265,CUST106978,Personal,2178.01,11.74,36,2025-07-30,72.07,661,0.39,Current,0
LN700266,CUST108515,Auto,6912.33,18.01,12,2023-04-25,633.76,521,0.65,Paid Off,0
LN700267,CUST102788,Auto,28186.04,12.85,24,2026-05-19,1338.03,772,0.35,Current,0
LN700268,CUST106420,Personal,12687.46,11.33,48,2023-01-26,329.95,636,0.18,Current,0
LN700269,CUST101535,Personal,19559.75,16.09,36,2026-03-02,688.53,571,0.5,Current,0
LN700270,CUST100920,Personal,6110.74,14.36,24,2025-12-15,294.43,573,0.48,Current,0
LN700271,CUST109302,BNPL,1272.16,17.53,48,2021-08-01,37.06,576,0.46,Default,210
LN700272,CUST101795,Debt Consolidation,12091.84,15.89,12,2024-12-06,1096.47,518,0.41,Default,264
LN700273,CUST104357,Personal,20432.34,8.66,12,2022-10-30,1783.62,647,0.42,Paid Off,0
LN700274,CUST107161,Personal,18746.58,9.87,12,2025-09-20,1646.99,651,0.1,Late,55
LN700275,CUST108775,Personal,16513.66,17.5,24,2022-05-21,820.45,573,0.51,Paid Off,0
LN700276,CUST105210,Debt Consolidation,6647.9,18.38,36,2024-03-29,241.61,596,0.45,Current,0
LN700277,CUST107450,BNPL,1373.32,11.4,60,2024-05-12,30.13,625,0.51,Current,0
