ticket_id,customer_id,ticket_date,category,channel,priority,resolution_hours,resolved,satisfaction_score
TCK500143,CUST102857,2022-10-26,Loan Inquiry,In-App Chat,Low,4.9,TRUE,5
TCK500144,CUST104804,2025-05-12,Fraud/Dispute,In-App Chat,Low,8.4,TRUE,4
TCK500145,CUST107100,2025-12-29,Fraud/Dispute,Phone,High,6.4,TRUE,4
TCK500146,CUST106229,2021-11-29,General,Email,Low,14.3,TRUE,5
TCK500147,CUST108346,2021-11-10,Fraud/Dispute,In-App Chat,Low,21,TRUE,5
TCK500148,CUST102951,2021-05-18,Card Issue,Email,Low,12.2,FALSE,3
TCK500149,CUST101926,2021-05-24,Login/Access,In-App Chat,Low,26,TRUE,3
TCK500150,CUST107611,2025-08-10,Billing,In-App Chat,Low,13.4,TRUE,4
TCK500151,CUST100811,2026-05-10,Billing,In-App Chat,Low,6.5,TRUE,3
TCK500152,CUST101086,2023-03-19,General,Phone,Medium,10.1,FALSE,3
TCK500153,CUST108149,2026-01-12,Billing,In-App Chat,High,8.8,FALSE,2
TCK500154,CUST109342,2025-01-27,Complaint,Email,Urgent,8.7,TRUE,5
TCK500155,CUST100484,2023-02-15,General,In-App Chat,High,10.8,TRUE,4
TCK500156,CUST103237,2025-04-18,General,Phone,High,3.2,TRUE,4
TCK500157,CUST104336,2021-03-17,Login/Access,Email,Low,13.4,TRUE,5
TCK500158,CUST104244,2025-07-05,Login/Access,In-App Chat,High,8.9,TRUE,3
TCK500159,CUST109924,2023-01-23,Card Issue,In-App Chat,Medium,4.1,FALSE,1
TCK500160,CUST102825,2023-01-18,Card Issue,In-App Chat,Low,8.6,TRUE,4
TCK500161,CUST110873,2021-02-12,Fraud/Dispute,Phone,Medium,7.9,TRUE,4
TCK500162,CUST103404,2021-02-08,Billing,Twitter/X,Medium,10.6,TRUE,2
TCK500163,CUST100551,2023-11-22,Billing,In-App Chat,Medium,15.8,TRUE,4
TCK500164,CUST103727,2023-12-22,Fraud/Dispute,In-App Chat,Medium,9.9,TRUE,5
TCK500165,CUST105348,2025-07-30,Card Issue,Twitter/X,High,9.7,TRUE,5
TCK500166,CUST107091,2022-06-16,Billing,In-App Chat,High,12.6,TRUE,3
TCK500167,CUST107075,2022-10-08,Complaint,Twitter/X,Medium,11.3,TRUE,4
TCK500168,CUST103148,2026-05-20,Billing,Email,Medium,11.2,TRUE,5
TCK500169,CUST110565,2024-08-20,Fraud/Dispute,In-App Chat,High,6.9,TRUE,5
TCK500170,CUST100601,2022-02-08,Loan Inquiry,Email,Low,1.1,TRUE,4
TCK500171,CUST106528,2023-01-17,Billing,In-App Chat,Low,13.1,TRUE,1
TCK500172,CUST106749,2025-06-11,General,Email,High,3.2,TRUE,5
TCK500173,CUST103664,2024-05-19,Billing,In-App Chat,High,2.2,TRUE,5
TCK500174,CUST108395,2025-06-09,Loan Inquiry,In-App Chat,Urgent,17.4,TRUE,2
TCK500175,CUST102981,2023-07-12,Card Issue,In-App Chat,High,16,TRUE,3
TCK500176,CUST102569,2021-05-21,General,In-App Chat,Medium,23.3,TRUE,4
TCK500177,CUST107267,2024-08-11,Complaint,In-App Chat,High,6.1,TRUE,3
TCK500178,CUST106345,2021-09-27,Login/Access,Email,Urgent,4.8,TRUE,2
TCK500179,CUST108137,2024-05-25,Fraud/Dispute,Email,Medium,5.8,TRUE,3
TCK500180,CUST105563,2023-05-06,Card Issue,Email,Medium,11.5,TRUE,4
TCK500181,CUST100437,2021-07-01,Billing,In-App Chat,Low,19.3,TRUE,5
TCK500182,CUST104148,2023-02-26,Fraud/Dispute,In-App Chat,Low,8.7,TRUE,4
TCK500183,CUST105710,2023-11-28,Fraud/Dispute,Email,Low,25.7,TRUE,4
TCK500184,CUST110105,2026-02-02,Card Issue,Twitter/X,Low,10,TRUE,4
TCK500185,CUST104495,2021-01-21,Complaint,In-App Chat,Urgent,8.2,TRUE,2
TCK500186,CUST100309,2025-12-12,Complaint,In-App Chat,High,5.2,TRUE,5
TCK500187,CUST110130,2026-06-29,Login/Access,Email,Medium,20.1,TRUE,5
TCK500188,CUST109574,2023-10-17,Billing,In-App Chat,Medium,11.7,TRUE,3
TCK500189,CUST106495,2022-08-03,Complaint,Phone,Low,11.8,TRUE,5
TCK500190,CUST106448,2021-07-09,Fraud/Dispute,In-App Chat,Urgent,4.5,TRUE,4
TCK500191,CUST110606,2024-06-21,Complaint,Email,Medium,18.8,TRUE,5
TCK500192,CUST101641,2025-09-26,Loan Inquiry,Email,Medium,25,FALSE,2
TCK500193,CUST107857,2022-12-19,Billing,In-App Chat,Low,14.3,TRUE,5
TCK500194,CUST101981,2024-05-10,Fraud/Dispute,In-App Chat,High,11.1,FALSE,3
TCK500195,CUST100334,2025-01-03,Billing,Email,Low,7.2,TRUE,2
TCK500196,CUST101432,2023-01-14,Fraud/Dispute,Email,Low,6.5,TRUE,1
TCK500197,CUST101372,2021-02-10,Fraud/Dispute,Phone,Medium,2.6,TRUE,5
TCK500198,CUST100125,2021-05-26,Billing,Email,Low,7.6,TRUE,5
TCK500199,CUST106500,2025-05-11,Card Issue,Email,Low,2.3,TRUE,5
TCK500200,CUST107735,2022-03-19,Billing,Email,Low,11.8,TRUE,1
TCK500201,CUST108752,2023-06-01,General,Phone,Medium,3.5,TRUE,5
TCK500202,CUST102420,2026-06-11,Card Issue,Twitter/X,Medium,6,TRUE,5
TCK500203,CUST104436,2026-03-27,Billing,Phone,Low,5.3,TRUE,5
TCK500204,CUST103615,2025-01-17,Billing,Email,Low,10.1,TRUE,4
TCK500205,CUST104441,2024-09-13,Complaint,Email,Medium,8.6,TRUE,3
TCK500206,CUST110626,2025-08-16,Billing,In-App Chat,High,9.5,TRUE,5
TCK500207,CUST104519,2022-11-13,Loan Inquiry,Phone,Low,8.8,TRUE,5
TCK500208,CUST104896,2023-08-19,General,In-App Chat,Low,17.3,TRUE,2
TCK500209,CUST109385,2025-02-26,Card Issue,Twitter/X,Low,9.4,TRUE,5
TCK500210,CUST105711,2022-12-10,Fraud/Dispute,In-App Chat,Medium,10.1,FALSE,3
TCK500211,CUST104728,2024-09-14,Card Issue,In-App Chat,Medium,14.2,TRUE,2
TCK500212,CUST101727,2022-02-20,General,In-App Chat,Urgent,2.6,TRUE,5
TCK500213,CUST107879,2023-02-04,Billing,In-App Chat,Low,5,TRUE,4
TCK500214,CUST107563,2024-04-30,Loan Inquiry,Phone,High,11.7,TRUE,2
TCK500215,CUST109854,2024-03-23,Card Issue,Phone,Low,1.6,TRUE,1
TCK500216,CUST106205,2024-10-01,Login/Access,Twitter/X,Medium,10.5,TRUE,3
TCK500217,CUST101470,2021-06-16,Billing,Phone,High,5.2,FALSE,4
TCK500218,CUST109192,2023-03-05,Billing,Phone,High,11.5,TRUE,4
TCK500219,CUST100953,2026-01-19,Complaint,In-App Chat,High,6.1,FALSE,1
TCK500220,CUST103482,2024-03-03,Billing,Phone,High,5.3,TRUE,5
TCK500221,CUST106554,2021-09-17,Card Issue,Phone,Low,32.3,TRUE,5
TCK500222,CUST105733,2026-01-09,General,Email,Medium,2.7,TRUE,5
TCK500223,CUST107522,2024-12-09,General,Email,Medium,4,TRUE,4
TCK500224,CUST106375,2022-09-06,Card Issue,In-App Chat,Medium,2,TRUE,5
TCK500225,CUST106261,2025-12-06,Billing,In-App Chat,Medium,6.3,TRUE,4
TCK500226,CUST106390,2022-12-13,Fraud/Dispute,Email,High,11.1,TRUE,4
TCK500227,CUST103607,2024-04-05,Card Issue,In-App Chat,High,22.4,TRUE,4
TCK500228,CUST110014,2023-11-22,Fraud/Dispute,In-App Chat,Low,4.3,TRUE,4
TCK500229,CUST103277,2024-05-28,Card Issue,In-App Chat,Medium,3.2,TRUE,1
TCK500230,CUST105013,2026-04-17,Login/Access,Phone,Medium,4.7,TRUE,4
TCK500231,CUST109974,2022-12-16,Loan Inquiry,In-App Chat,High,3.5,TRUE,3
TCK500232,CUST101063,2022-12-13,Billing,In-App Chat,High,19.2,TRUE,4
TCK500233,CUST105689,2024-07-25,General,In-App Chat,Low,14,TRUE,4
TCK500234,CUST102274,2022-12-12,General,Phone,Medium,56.7,TRUE,4
TCK500235,CUST108458,2023-10-18,Card Issue,Phone,Low,12,TRUE,3
TCK500236,CUST104777,2025-06-08,Login/Access,In-App Chat,Medium,8.2,TRUE,2
TCK500237,CUST110039,2021-07-31,Card Issue,In-App Chat,Low,13,TRUE,3
TCK500238,CUST104142,2021-01-18,Card Issue,Email,Medium,22.6,TRUE,5
TCK500239,CUST110303,2023-05-07,Loan Inquiry,Phone,Low,26.5,TRUE,3
TCK500240,CUST104651,2025-02-19,Login/Access,Twitter/X,Medium,4.2,TRUE,4
TCK500241,CUST110982,2022-05-11,Complaint,In-App Chat,Low,13.7,TRUE,4
TCK500242,CUST102956,2024-11-30,Complaint,In-App Chat,Urgent,8.3,TRUE,2
TCK500243,CUST105637,2021-03-14,Fraud/Dispute,Email,Low,4.3,TRUE,3
TCK500244,CUST106496,2023-02-14,Login/Access,In-App Chat,Urgent,14.7,TRUE,4
TCK500245,CUST108648,2024-08-18,Billing,Phone,High,6.8,FALSE,3
TCK500246,CUST101091,2025-05-19,Card Issue,Phone,High,6.1,TRUE,4
TCK500247,CUST107832,2021-11-15,Login/Access,Email,High,28.4,TRUE,5
TCK500248,CUST104090,2021-05-20,Card Issue,In-App Chat,Low,6,TRUE,4
TCK500249,CUST104248,2023-03-05,Billing,Email,Medium,13.4,TRUE,3
TCK500250,CUST101426,2025-12-21,Fraud/Dispute,Email,Low,7.6,TRUE,2
TCK500251,CUST102076,2021-01-20,Complaint,Email,Low,6.2,TRUE,5
TCK500252,CUST106951,2026-03-27,Login/Access,Phone,Medium,7.1,TRUE,4
TCK500253,CUST100344,2025-02-16,Loan Inquiry,Phone,Medium,18.7,TRUE,5
TCK500254,CUST100058,2025-07-30,Login/Access,In-App Chat,Medium,14,TRUE,3
TCK500255,CUST110038,2021-09-05,Billing,In-App Chat,Low,4,TRUE,5
TCK500256,CUST100007,2023-11-18,Billing,Twitter/X,Low,27.6,TRUE,5
TCK500257,CUST101482,2024-06-07,General,Email,Medium,10.3,TRUE,4
TCK500258,CUST105490,2021-08-08,Billing,Phone,Medium,30.5,TRUE,4
TCK500259,CUST102416,2023-10-24,Complaint,In-App Chat,Medium,29.7,TRUE,3
TCK500260,CUST104457,2025-11-13,Billing,In-App Chat,Medium,22.7,TRUE,5
TCK500261,CUST106966,2026-05-13,Fraud/Dispute,Email,Medium,32.9,TRUE,5
TCK500262,CUST103020,2026-01-17,Fraud/Dispute,Email,Low,11.5,FALSE,4
TCK500263,CUST101193,2022-09-08,Loan Inquiry,Email,Urgent,11.5,TRUE,4
TCK500264,CUST101808,2023-06-01,Complaint,Twitter/X,Medium,6.6,TRUE,5
TCK500265,CUST101298,2023-01-18,Card Issue,In-App Chat,Medium,8.7,FALSE,5
TCK500266,CUST105595,2023-05-04,Login/Access,Email,Urgent,20.8,TRUE,5
TCK500267,CUST101088,2021-05-02,Fraud/Dispute,In-App Chat,Medium,4.2,TRUE,4
TCK500268,CUST104315,2021-03-04,Login/Access,Twitter/X,Low,1.3,TRUE,1
TCK500269,CUST101714,2023-02-11,General,Phone,High,36.2,TRUE,4
TCK500270,CUST110907,2026-04-16,Fraud/Dispute,Email,High,16.5,TRUE,4
TCK500271,CUST109375,2024-08-16,Billing,In-App Chat,High,18.6,TRUE,2
TCK500272,CUST108694,2022-10-05,Card Issue,Email,Low,1.5,TRUE,2
TCK500273,CUST107876,2024-01-30,Billing,Email,High,11,TRUE,5
TCK500274,CUST110399,2025-09-13,Loan Inquiry,In-App Chat,High,6.6,TRUE,4
TCK500275,CUST102745,2023-05-08,Billing,Phone,Urgent,6.9,TRUE,2
TCK500276,CUST110115,2024-07-11,Billing,In-App Chat,Urgent,7.8,TRUE,4
TCK500277,CUST105053,2025-05-20,Billing,Twitter/X,High,19.8,TRUE,5
TCK500278,CUST101271,2022-08-14,Fraud/Dispute,Twitter/X,Low,4.7,TRUE,4
TCK500279,CUST106223,2021-03-25,Loan Inquiry,In-App Chat,Low,10.4,TRUE,4
TCK500280,CUST108383,2024-08-19,Billing,In-App Chat,High,17.7,TRUE,5
TCK500281,CUST108086,2026-02-21,Complaint,In-App Chat,Low,14,FALSE,2
TCK500282,CUST104561,2026-02-24,Loan Inquiry,Phone,High,4.8,TRUE,4
TCK500283,CUST104877,2026-06-01,Fraud/Dispute,Twitter/X,Low,17.8,TRUE,5
TCK500284,CUST107377,2024-01-28,Billing,In-App Chat,Medium,5.7,TRUE,5
TCK500285,CUST103949,2023-10-13,Loan Inquiry,Twitter/X,Medium,2.5,TRUE,5
TCK500286,CUST109029,2021-09-29,Billing,In-App Chat,High,13.6,TRUE,4
TCK500287,CUST104475,2022-01-20,Card Issue,Email,Medium,34.1,TRUE,4
TCK500288,CUST102300,2026-04-02,General,Email,High,7.1,TRUE,5
TCK500289,CUST100840,2025-03-02,Billing,In-App Chat,Medium,9,TRUE,5
TCK500290,CUST101754,2025-09-01,Billing,Email,Low,4.8,TRUE,3
TCK500291,CUST106238,2023-01-21,Card Issue,Phone,Medium,10.8,TRUE,3
TCK500292,CUST101371,2024-04-18,Loan Inquiry,Email,High,19.6,FALSE,1
TCK500293,CUST104265,2024-01-09,Login/Access,In-App Chat,Medium,8.9,TRUE,4
TCK500294,CUST104938,2023-01-14,Billing,Twitter/X,High,22.4,TRUE,5
TCK500295,CUST101306,2025-05-06,Card Issue,Phone,Low,16.8,TRUE,4
TCK500296,CUST105501,2021-12-16,Billing,Twitter/X,Low,11.4,TRUE,5
TCK500297,CUST108231,2023-07-17,Loan Inquiry,Twitter/X,Medium,17.6,TRUE,4
TCK500298,CUST107608,2023-01-11,Loan Inquiry,Phone,High,4.2,TRUE,4
TCK500299,CUST101268,2022-02-26,Complaint,Email,High,3.8,TRUE,5
TCK500300,CUST104345,2025-04-30,General,Email,Low,1.8,TRUE,5
TCK500301,CUST102328,2026-02-04,Card Issue,In-App Chat,High,9.1,TRUE,1
TCK500302,CUST100258,2024-03-06,General,Phone,High,1.6,TRUE,5
TCK500303,CUST108280,2021-05-31,General,In-App Chat,Medium,2.7,TRUE,5
TCK500304,CUST109098,2025-11-26,Fraud/Dispute,In-App Chat,Medium,10.8,FALSE,3
TCK500305,CUST102974,2023-06-03,Card Issue,In-App Chat,Low,7.4,TRUE,4
TCK500306,CUST102670,2022-06-12,General,Email,Urgent,8.5,TRUE,4
TCK500307,CUST103425,2023-04-29,General,Phone,Low,5.1,TRUE,5
TCK500308,CUST107269,2021-07-04,Login/Access,Email,Low,18.9,TRUE,3
TCK500309,CUST110623,2023-09-19,Billing,In-App Chat,Low,8.4,TRUE,5
TCK500310,CUST106710,2026-01-10,Loan Inquiry,Email,High,5.6,TRUE,3
TCK500311,CUST110942,2023-06-27,General,Email,High,14.4,TRUE,3
TCK500312,CUST104210,2025-04-06,Card Issue,In-App Chat,Medium,14.4,FALSE,1
TCK500313,CUST100975,2021-12-10,Card Issue,Email,Urgent,2.1,TRUE,3
TCK500314,CUST106766,2025-08-12,Billing,Phone,High,2.4,TRUE,1
TCK500315,CUST103413,2022-05-02,Loan Inquiry,Phone,Urgent,7.1,TRUE,5
